Interval|"ms"|0|0|1,Utc|"ms"|0|0|1,AccelX|"G"|-3.0|3.0|50,AccelY|"G"|-3.0|3.0|50,AccelZ|"G"|-3.0|3.0|50,Yaw|"Deg/Sec"|-120|120|50,Pitch|"Deg/Sec"|-120|120|50,Roll|"Deg/Sec"|-120|120|50,FTTS1|""|0.0|1000.0|50,FTTS2|""|0.0|1000.0|50,FTTS3|""|0.0|1000.0|50,FTTS4|""|0.0|1000.0|50,FR|""|0.0|1000.0|50,TPS|""|0.0|1000.0|50,FBPS|""|0.0|1000.0|50,STR|""|0.0|1000.0|50,MPUAccX|""|-20.0|20.0|50,MPUAccY|""|-20.0|20.0|50,MPUAccZ|""|-20.0|20.0|50,YawMPU|""|-20.0|20.0|50,PitchMPU|""|-20.0|20.0|50,RollMPU|""|-20.0|20.0|50, RSTR|""|0.0|1000.0|50, RL|""|0.0|1000.0|50, RBPS|""|0.0|1000.0|50, RR |""|0.0|1000.0|50,Latitude|"Degrees"|-180.0|180.0|10,Longitude|"Degrees"|-180.0|180.0|10,Speed|"mph"|0.0|150.0|10,Altitude|"ft"|0.0|4000.0|10,GPSSats|""|0|20|10,LapCount|""|0|0|10,LapTime|"Min"|0.0|0.0|10,Sector|""|0|0|10,SectorTime|"Min"|0.0|0.0|10,PredTime|"Min"|0.0|0.0|10,ElapsedTime|"Min"|0.0|0.0|10,CurrentLap|""|0|0|10
2166937,1.58E+12,0.85,-0.01,-0.2,0,-1,-1,0,0,0,0,0,0.9,1.45,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166957,1.58E+12,0.93,0,-0.32,0,-2,1,0,0,0,0,0,0.9,1.45,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166977,1.58E+12,0.89,-0.04,-0.2,0,-2,-1,0,0,0,0,0,0.9,1.45,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2166997,1.58E+12,0.94,-0.06,-0.28,0,-2,1,0,0,0,0,0,0.9,1.45,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167017,1.58E+12,0.96,-0.05,-0.25,0,1,0,0,0,0,0,0,0.9,1.45,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167037,1.58E+12,0.91,0,-0.15,0,1,0,0,0,0,0,0,0.94,1.44,2.99,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167057,1.58E+12,0.85,0.02,-0.11,0,-1,0,0,0,0,0,0,0.94,1.44,2.99,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167077,1.58E+12,0.88,0.04,-0.19,0,-2,0,0,0,0,0,0,0.94,1.44,2.99,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167097,1.58E+12,0.9,0.03,-0.28,0,-3,1,0,0,0,0,0,0.94,1.44,2.99,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167117,1.58E+12,0.91,0.05,-0.29,0,-4,0,0,0,0,0,0,0.94,1.44,2.99,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167137,1.58E+12,0.94,0.07,-0.28,0,-5,1,0,0,0,0,0,0.9,1.45,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167157,1.58E+12,0.96,0.09,-0.23,0,-5,1,0,0,0,0,0,0.9,1.45,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167177,1.58E+12,1,0.08,-0.24,0,-4,1,0,0,0,0,0,0.9,1.45,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167197,1.58E+12,1.02,0.1,-0.27,0,-3,1,0,0,0,0,0,0.9,1.45,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167217,1.58E+12,1.04,0.09,-0.27,0,-3,2,0,0,0,0,0,0.9,1.45,2.94,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167237,1.58E+12,1.04,0.08,-0.28,0,-3,2,0,0,0,0,0,0.92,1.44,2.97,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167257,1.58E+12,1.03,0.07,-0.23,0,-4,1,0,0,0,0,0,0.92,1.44,2.97,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167277,1.58E+12,1.02,0.06,-0.18,0,-4,1,0,0,0,0,0,0.92,1.44,2.97,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167297,1.58E+12,1.03,0.03,-0.18,0,-4,1,0,0,0,0,0,0.92,1.44,2.97,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
2167317,1.58E+12,1.05,0.04,-0.18,0,-2,1,0,0,0,0,0,0.92,1.44,2.97,0,0,0,0,0,0,0,0,0,0,12.992236,80.230309,0,30.2,10,0,0,-1,0,0,0,0
